Length.spi Length.bod scLength.spi scLength.bod treat_dev measurer.spi measurer.bod animal cultureFac blockFac Dam Sire cross
0.10764 0.14364 10.764 14.364 N 0.5 0.5 N1.2_N2.30 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.13363 0.1567 13.363 15.67 N 0.5 0.5 N1.2_N2.31 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.1326 0.14957 13.26 14.957 N 0.5 0.5 N1.2_N2.32 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.11779 0.14583 11.779 14.583 N 0.5 0.5 N1.2_N2.33 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12506 0.14272 12.506 14.272 N 0.5 0.5 N1.2_N2.34 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.13299 0.16436 13.299 16.436 N 0.5 0.5 N1.2_N2.35 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.14098 0.15712 14.098 15.712 N 0.5 0.5 N1.2_N2.4 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.1189 0.1404 11.89 14.04 N 0.5 0.5 N1.2_N2.5 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12504 0.14362 12.504 14.362 N 0.5 0.5 N1.2_N2.6 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.12475 0.14657 12.475 14.657 N 0.5 0.5 N1.2_N2.7 N1.2_N2 1 dam_N1 sire_N2 N1N2
0.13398 0.147 13.398 14.7 N 0.5 0.5 N1.2_N2.8 N1.2_N2 1 dam_N1 sire_N2 N1N2
