Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
U22_U1_RNA_S49_L001_R2										11.054841785319798	2.7912291739056205	4.31655833294788	1.5393521019551757	4.080792737688112	1.4072928216773333	1.4962719662754789
U33_N1_RNA_S50_L001_R1										13.286745218731491	3.324129313534707	4.942101038715096	1.507292609560254	3.476082867163451	1.4659228085080267	2.1727692758971013
U33_N1_RNA_S50_L001_R2										11.064336119403636	2.6026006837797806	4.006815023720104	1.3951195431801244	4.024194497918272	1.4466951715199727	1.8742628792379126
U33_U1_RNA_S51_L001_R1										11.409019190096416	3.328784775290798	5.817625502453182	2.1649942230066213	6.7359609238985065	3.7149504388113734	13.833433887329791
U33_U1_RNA_S51_L001_R2										10.195088638742957	2.8417335092467813	5.119386124149187	2.2056441083402754	7.639506576507606	5.194006348085183	14.29557290763922
U34_N1_RNA_S52_L001_R1										14.256298310546228	3.5088894409997953	4.770761238054017	1.46254756682304	3.4360724570342365	1.5685830418873503	1.8356198835936053
U34_N1_RNA_S52_L001_R2										11.85720240464121	2.693417434983851	4.015898137712237	1.3070578526018732	3.9804933888751615	1.3956904312093024	1.6941911764674882
U34_U1_RNA_S53_L001_R1										10.231335998727944	3.229207675024437	6.2473977246174845	2.401576808215919	7.241859272844296	3.924110479368877	15.655265537148628
U34_U1_RNA_S53_L001_R2										9.33721219407735	2.9557755171123428	5.769912710940905	2.6055395579933567	7.784933723566434	5.42137285765105	17.62263448669773
U43_N1_RNA_S54_L001_R1										13.10453939353144	3.4066815693259165	5.165928360528467	1.832910236034086	3.9897836960515582	1.3589267682796278	1.7618721729254414
U43_N1_RNA_S54_L001_R2										11.065937556889033	2.742944825991933	4.4966615258157585	1.7790896709869517	4.26485529083971	1.1782094189646997	1.6930992563170655
U43_U1_RNA_S55_L001_R1										13.311340621489062	3.5204393083073238	5.4108068476844	2.068179950792105	4.266804776712984	1.6488748175723058	2.6625254489028123
U43_U1_RNA_S55_L001_R2										11.33859934130195	2.9404388388502847	4.717977700690379	1.9899302706187758	4.76208002676244	1.689992443492164	2.427870156111235
U44_N1_RNA_S56_L001_R1										13.502549863014792	3.4078810079481077	5.329001462486056	1.892819347152714	4.431715902095325	1.6664216158779241	2.044718456835402
U44_N1_RNA_S56_L001_R2										11.160822042319515	2.904001034113825	4.617312090216892	1.85038224049295	4.7717295466524146	1.6075093932142681	1.75383578266354
U44_U1_RNA_S57_L001_R1										13.542447317718961	3.527820211610163	5.571029343998082	2.1043034819681896	4.8300225545292665	1.9615241261261531	2.854394178194953
U44_U1_RNA_S57_L001_R2										11.343279263926286	3.040389585749952	4.9512097900764065	1.9998671981808782	5.348916491771925	1.9753254754867406	2.541916752375369
U55_N2_RNA_S58_L001_R1										14.269373925776426	3.4346640945621494	4.774222232561674	1.3399530230327112	2.6856401628245634	1.1906076142098245	1.052642587572974
